Timestamp,CPM
2024-07-13 14:30:26,114.0
2024-07-13 14:31:26,119.0
2024-07-13 14:32:26,104.0
2024-07-13 14:33:26,132.0
2024-07-13 14:34:26,132.0
2024-07-13 14:35:26,111.0
2024-07-13 14:36:26,119.0
2024-07-13 14:37:26,96.0
2024-07-13 14:38:26,114.0
2024-07-13 14:39:26,102.0
2024-07-13 14:40:26,123.0
2024-07-13 14:41:26,102.0
2024-07-13 14:42:26,119.0
2024-07-13 14:43:26,132.0
2024-07-13 14:44:26,122.0
2024-07-13 14:45:26,112.0
2024-07-13 14:46:27,104.0
2024-07-13 14:47:27,95.0
2024-07-13 14:48:27,124.0
2024-07-13 14:49:27,107.0
2024-07-13 14:50:27,129.0
2024-07-13 14:51:27,108.0
2024-07-13 14:52:27,132.0
2024-07-13 14:53:27,123.0
2024-07-13 14:54:27,119.0
2024-07-13 14:55:27,106.0
2024-07-13 14:56:27,107.0
2024-07-13 14:57:27,112.0
2024-07-13 14:58:27,101.0
2024-07-13 14:59:27,98.0
2024-07-13 15:00:27,120.0
2024-07-13 15:01:27,109.0
2024-07-13 15:02:28,148.0
2024-07-13 15:03:28,129.0
2024-07-13 15:04:28,108.0
2024-07-13 15:05:28,94.0
2024-07-13 15:06:28,105.0
2024-07-13 15:07:28,113.0
2024-07-13 15:08:28,125.0
2024-07-13 15:09:28,144.0
2024-07-13 15:10:28,106.0
2024-07-13 15:11:28,121.0
2024-07-13 15:12:28,98.0
2024-07-13 15:13:28,135.0
2024-07-13 15:14:28,109.0
2024-07-13 15:15:28,125.0
2024-07-13 15:16:28,113.0
2024-07-13 15:17:28,119.0
2024-07-13 15:18:29,106.0
2024-07-13 15:19:29,119.0
2024-07-13 15:20:29,124.0
2024-07-13 15:21:29,111.0
2024-07-13 15:22:29,104.0
2024-07-13 15:23:29,130.0
2024-07-13 15:24:29,113.0
2024-07-13 15:25:29,125.0
2024-07-13 15:26:29,109.0
2024-07-13 15:27:29,109.0
2024-07-13 15:28:29,111.0
2024-07-13 15:29:29,109.0
2024-07-13 15:30:29,126.0
2024-07-13 15:31:29,99.0
2024-07-13 15:32:29,102.0
2024-07-13 15:33:29,107.0
2024-07-13 15:34:29,115.0
2024-07-13 15:35:30,103.0
2024-07-13 15:36:30,103.0
2024-07-13 15:37:30,123.0
2024-07-13 15:38:30,105.0
2024-07-13 15:39:30,129.0
2024-07-13 15:40:30,116.0
2024-07-13 15:41:30,115.0
2024-07-13 15:42:30,110.0
2024-07-13 15:43:30,112.0
2024-07-13 15:44:30,114.0
2024-07-13 15:45:30,132.0
2024-07-13 15:46:30,116.0
2024-07-13 15:47:30,127.0
2024-07-13 15:48:30,126.0
2024-07-13 15:49:30,102.0
2024-07-13 15:50:30,115.0
2024-07-13 15:51:31,112.0
2024-07-13 15:52:31,108.0
2024-07-13 15:53:31,103.0
2024-07-13 15:54:31,123.0
2024-07-13 15:55:31,125.0
2024-07-13 15:56:31,107.0
2024-07-13 15:57:31,119.0
2024-07-13 15:58:31,117.0
2024-07-13 15:59:31,123.0
2024-07-13 16:00:31,125.0
2024-07-13 16:01:31,117.0
2024-07-13 16:02:31,111.0
2024-07-13 16:03:31,110.0
2024-07-13 16:04:31,117.0
2024-07-13 16:05:31,108.0
2024-07-13 16:06:31,114.0
2024-07-13 16:07:31,122.0
2024-07-13 16:08:32,99.0
2024-07-13 16:09:32,111.0
2024-07-13 16:10:32,118.0
2024-07-13 16:11:32,139.0
2024-07-13 16:12:32,95.0
2024-07-13 16:13:32,133.0
2024-07-13 16:14:32,113.0
2024-07-13 16:15:32,105.0
2024-07-13 16:16:32,108.0
2024-07-13 16:17:32,110.0
2024-07-13 16:18:32,101.0
2024-07-13 16:19:32,113.0
2024-07-13 16:20:32,144.0
2024-07-13 16:21:32,104.0
2024-07-13 16:22:32,121.0
2024-07-13 16:23:32,117.0
2024-07-13 16:24:32,115.0
2024-07-13 16:25:32,100.0
2024-07-13 16:26:32,115.0
2024-07-13 16:27:32,109.0
2024-07-13 16:28:32,114.0
2024-07-13 16:29:32,121.0
2024-07-13 16:30:32,105.0
2024-07-13 16:31:32,103.0
2024-07-13 16:32:32,105.0
2024-07-13 16:33:32,128.0
2024-07-13 16:34:33,117.0
2024-07-13 16:35:33,109.0
2024-07-13 16:36:33,134.0
2024-07-13 16:37:33,137.0
2024-07-13 16:38:33,104.0
2024-07-13 16:39:33,119.0
2024-07-13 16:40:33,127.0
2024-07-13 16:41:33,101.0
2024-07-13 16:42:33,116.0
2024-07-13 16:43:33,117.0
2024-07-13 16:44:33,107.0
2024-07-13 16:45:33,113.0
2024-07-13 16:46:33,128.0
2024-07-13 16:47:33,117.0
2024-07-13 16:48:33,106.0
2024-07-13 16:49:33,118.0
2024-07-13 16:50:33,101.0
2024-07-13 16:51:33,113.0
2024-07-13 16:52:34,113.0
2024-07-13 16:53:34,130.0
2024-07-13 16:54:34,112.0
2024-07-13 16:55:34,125.0
2024-07-13 16:56:34,108.0
2024-07-13 16:57:34,93.0
2024-07-13 16:58:34,119.0
2024-07-13 16:59:34,104.0
2024-07-13 17:00:34,124.0
2024-07-13 17:01:34,108.0
2024-07-13 17:02:34,120.0
2024-07-13 17:03:34,104.0
2024-07-13 17:04:34,101.0
2024-07-13 17:05:34,101.0
2024-07-13 17:06:34,96.0
2024-07-13 17:07:34,113.0
2024-07-13 17:08:34,129.0
2024-07-13 17:09:34,114.0
2024-07-13 17:10:34,119.0
2024-07-13 17:11:34,122.0
2024-07-13 17:12:34,110.0
2024-07-13 17:13:35,118.0
2024-07-13 17:14:35,91.0
2024-07-13 17:15:35,98.0
2024-07-13 17:16:35,107.0
2024-07-13 17:17:35,115.0
2024-07-13 17:18:35,121.0
2024-07-13 17:19:35,130.0
2024-07-13 17:20:35,111.0
2024-07-13 17:21:35,117.0
2024-07-13 17:22:35,128.0
2024-07-13 17:23:35,124.0
2024-07-13 17:24:35,138.0
2024-07-13 17:25:35,111.0
2024-07-13 17:26:35,92.0
2024-07-13 17:27:35,123.0
2024-07-13 17:28:35,111.0
2024-07-13 17:29:35,110.0
2024-07-13 17:30:35,118.0
2024-07-13 17:31:35,94.0
2024-07-13 17:32:35,111.0
2024-07-13 17:33:35,136.0
2024-07-13 17:34:36,112.0
2024-07-13 17:35:36,118.0
2024-07-13 17:36:36,128.0
2024-07-13 17:37:36,103.0
2024-07-13 17:38:36,115.0
2024-07-13 17:39:36,114.0
2024-07-13 17:40:36,112.0
2024-07-13 17:41:36,121.0
2024-07-13 17:42:36,131.0
2024-07-13 17:43:36,101.0
2024-07-13 17:44:36,100.0
2024-07-13 17:45:36,97.0
2024-07-13 17:46:36,107.0
2024-07-13 17:47:36,106.0
2024-07-13 17:48:36,110.0
2024-07-13 17:49:36,127.0
2024-07-13 17:50:36,99.0
2024-07-13 17:51:36,120.0
2024-07-13 17:52:36,127.0
2024-07-13 17:53:37,103.0
