Timestamp,CPM
2024-06-21 00:10:31,10.0
2024-06-21 00:11:31,21.0
2024-06-21 00:12:31,14.0
2024-06-21 00:13:31,14.0
2024-06-21 00:14:31,14.0
2024-06-21 00:15:31,13.0
2024-06-21 00:16:31,15.0
2024-06-21 00:17:31,19.0
2024-06-21 00:18:31,20.0
2024-06-21 00:19:31,11.0
2024-06-21 00:20:31,15.0
2024-06-21 00:21:31,17.0
2024-06-21 00:22:31,15.0
2024-06-21 00:23:32,9.0
2024-06-21 00:24:32,12.0
2024-06-21 00:25:32,20.0
2024-06-21 00:26:32,18.0
2024-06-21 00:27:32,19.0
2024-06-21 00:28:32,11.0
2024-06-21 00:29:32,16.0
2024-06-21 00:30:32,12.0
2024-06-21 00:31:32,15.0
2024-06-21 00:32:32,16.0
2024-06-21 00:33:32,16.0
2024-06-21 00:34:32,13.0
2024-06-21 00:35:32,12.0
2024-06-21 00:36:32,14.0
2024-06-21 00:37:32,15.0
2024-06-21 00:38:32,11.0
2024-06-21 00:39:32,11.0
2024-06-21 00:40:32,15.0
2024-06-21 00:41:32,12.0
2024-06-21 00:42:32,12.0
2024-06-21 00:43:32,11.0
2024-06-21 00:44:33,21.0
2024-06-21 00:45:33,9.0
2024-06-21 00:46:33,14.0
2024-06-21 00:47:33,15.0
2024-06-21 00:48:33,15.0
2024-06-21 00:49:33,18.0
2024-06-21 00:50:33,12.0
2024-06-21 00:51:33,11.0
2024-06-21 00:52:33,20.0
2024-06-21 00:53:33,18.0
2024-06-21 00:54:33,13.0
2024-06-21 00:55:33,16.0
2024-06-21 00:56:33,15.0
2024-06-21 00:57:33,16.0
2024-06-21 00:58:33,17.0
2024-06-21 00:59:33,15.0
2024-06-21 01:00:33,11.0
2024-06-21 01:01:33,16.0
2024-06-21 01:02:33,16.0
2024-06-21 01:03:33,19.0
2024-06-21 01:04:34,20.0
2024-06-21 01:05:34,19.0
2024-06-21 01:06:34,16.0
2024-06-21 01:07:34,7.0
2024-06-21 01:08:34,19.0
2024-06-21 01:09:34,20.0
2024-06-21 01:10:34,13.0
2024-06-21 01:11:34,12.0
2024-06-21 01:12:34,15.0
2024-06-21 01:13:34,17.0
2024-06-21 01:14:34,20.0
2024-06-21 01:15:34,10.0
2024-06-21 01:16:34,12.0
2024-06-21 01:17:34,16.0
2024-06-21 01:18:34,22.0
2024-06-21 01:19:34,11.0
2024-06-21 01:20:34,9.0
2024-06-21 01:21:35,12.0
2024-06-21 01:22:35,17.0
2024-06-21 01:23:35,21.0
2024-06-21 01:24:35,15.0
2024-06-21 01:25:35,13.0
2024-06-21 01:26:35,12.0
2024-06-21 01:27:35,10.0
2024-06-21 01:28:35,16.0
2024-06-21 01:29:35,17.0
2024-06-21 01:30:35,13.0
2024-06-21 01:31:35,13.0
2024-06-21 01:32:35,8.0
2024-06-21 01:33:35,12.0
2024-06-21 01:34:35,11.0
2024-06-21 01:35:35,15.0
2024-06-21 01:36:35,17.0
2024-06-21 01:37:35,19.0
2024-06-21 01:38:35,9.0
2024-06-21 01:39:35,22.0
2024-06-21 01:40:35,13.0
2024-06-21 01:41:36,13.0
2024-06-21 01:42:36,16.0
2024-06-21 01:43:36,12.0
2024-06-21 01:44:36,15.0
2024-06-21 01:45:36,11.0
2024-06-21 01:46:36,11.0
2024-06-21 01:47:36,13.0
2024-06-21 01:48:36,12.0
2024-06-21 01:49:36,10.0
2024-06-21 01:50:36,21.0
2024-06-21 01:51:36,17.0
2024-06-21 01:52:36,11.0
2024-06-21 01:53:36,18.0
2024-06-21 01:54:36,13.0
2024-06-21 01:55:36,14.0
2024-06-21 01:56:36,17.0
2024-06-21 01:57:36,11.0
2024-06-21 01:58:36,12.0
2024-06-21 01:59:36,8.0
2024-06-21 02:00:37,17.0
2024-06-21 02:01:37,16.0
2024-06-21 02:02:37,11.0
2024-06-21 02:03:37,9.0
2024-06-21 02:04:37,17.0
2024-06-21 02:05:37,26.0
2024-06-21 02:06:37,15.0
2024-06-21 02:07:37,11.0
2024-06-21 02:08:37,14.0
2024-06-21 02:09:37,7.0
2024-06-21 02:10:37,15.0
2024-06-21 02:11:37,11.0
2024-06-21 02:12:37,17.0
2024-06-21 02:13:37,15.0
2024-06-21 02:14:37,18.0
2024-06-21 02:15:37,16.0
2024-06-21 02:16:37,14.0
2024-06-21 02:17:37,19.0
2024-06-21 02:18:37,15.0
2024-06-21 02:19:37,12.0
2024-06-21 02:20:37,18.0
2024-06-21 02:21:37,19.0
2024-06-21 02:22:38,15.0
2024-06-21 02:23:38,14.0
2024-06-21 02:24:38,11.0
2024-06-21 02:25:38,21.0
2024-06-21 02:26:38,13.0
2024-06-21 02:27:38,18.0
2024-06-21 02:28:38,12.0
2024-06-21 02:29:38,15.0
2024-06-21 02:30:38,16.0
2024-06-21 02:31:38,21.0
2024-06-21 02:32:38,21.0
2024-06-21 02:33:38,17.0
2024-06-21 02:34:38,14.0
2024-06-21 02:35:38,16.0
2024-06-21 02:36:38,14.0
2024-06-21 02:37:38,14.0
2024-06-21 02:38:38,10.0
2024-06-21 02:39:38,11.0
2024-06-21 02:40:38,13.0
2024-06-21 02:41:39,14.0
2024-06-21 02:42:39,18.0
2024-06-21 02:43:39,12.0
2024-06-21 02:44:39,14.0
2024-06-21 02:45:39,16.0
2024-06-21 02:46:39,15.0
2024-06-21 02:47:39,15.0
2024-06-21 02:48:39,22.0
2024-06-21 02:49:39,12.0
2024-06-21 02:50:39,12.0
2024-06-21 02:51:39,18.0
2024-06-21 02:52:39,10.0
2024-06-21 02:53:39,14.0
2024-06-21 02:54:39,18.0
2024-06-21 02:55:39,13.0
2024-06-21 02:56:39,13.0
2024-06-21 02:57:39,15.0
2024-06-21 02:58:39,22.0
2024-06-21 02:59:39,8.0
2024-06-21 03:00:39,13.0
2024-06-21 03:01:39,16.0
2024-06-21 03:02:39,18.0
2024-06-21 03:03:39,23.0
2024-06-21 03:04:39,16.0
2024-06-21 03:05:39,16.0
2024-06-21 03:06:39,15.0
2024-06-21 03:07:40,18.0
2024-06-21 03:08:40,12.0
2024-06-21 03:09:40,10.0
2024-06-21 03:10:40,13.0
2024-06-21 03:11:40,15.0
2024-06-21 03:12:40,16.0
2024-06-21 03:13:40,12.0
2024-06-21 03:14:40,16.0
2024-06-21 03:15:40,13.0
2024-06-21 03:16:40,18.0
2024-06-21 03:17:40,19.0
2024-06-21 03:18:40,12.0
2024-06-21 03:19:40,12.0
2024-06-21 03:20:40,11.0
2024-06-21 03:21:40,11.0
2024-06-21 03:22:40,10.0
2024-06-21 03:23:40,13.0
2024-06-21 03:24:40,14.0
2024-06-21 03:25:40,18.0
2024-06-21 03:26:40,17.0
2024-06-21 03:27:40,12.0
2024-06-21 03:28:40,16.0
2024-06-21 03:29:41,14.0
2024-06-21 03:30:41,12.0
2024-06-21 03:31:41,21.0
2024-06-21 03:32:41,16.0
2024-06-21 03:33:41,17.0
2024-06-21 03:34:41,10.0
2024-06-21 03:35:41,15.0
2024-06-21 03:36:41,14.0
2024-06-21 03:37:41,13.0
2024-06-21 03:38:41,10.0
2024-06-21 03:39:41,15.0
2024-06-21 03:40:41,13.0
2024-06-21 03:41:41,15.0
2024-06-21 03:42:41,13.0
2024-06-21 03:43:41,13.0
2024-06-21 03:44:41,17.0
2024-06-21 03:45:41,10.0
2024-06-21 03:46:41,19.0
2024-06-21 03:47:41,14.0
2024-06-21 03:48:41,8.0
2024-06-21 03:49:41,20.0
2024-06-21 03:50:41,17.0
2024-06-21 03:51:41,22.0
2024-06-21 03:52:41,14.0
2024-06-21 03:53:41,14.0
2024-06-21 03:54:42,13.0
2024-06-21 03:55:42,17.0
2024-06-21 03:56:42,10.0
2024-06-21 03:57:42,10.0
2024-06-21 03:58:42,9.0
2024-06-21 03:59:42,14.0
2024-06-21 04:00:42,21.0
2024-06-21 04:01:42,15.0
2024-06-21 04:02:42,17.0
2024-06-21 04:03:42,17.0
2024-06-21 04:04:42,20.0
2024-06-21 04:05:42,12.0
2024-06-21 04:06:42,14.0
2024-06-21 04:07:42,16.0
2024-06-21 04:08:42,7.0
2024-06-21 04:09:42,13.0
2024-06-21 04:10:42,7.0
2024-06-21 04:11:42,13.0
2024-06-21 04:12:42,20.0
2024-06-21 04:13:43,17.0
2024-06-21 04:14:43,12.0
2024-06-21 04:15:43,19.0
2024-06-21 04:16:43,12.0
2024-06-21 04:17:43,14.0
2024-06-21 04:18:43,13.0
2024-06-21 04:19:43,16.0
2024-06-21 04:20:43,9.0
2024-06-21 04:21:43,14.0
2024-06-21 04:22:43,14.0
2024-06-21 04:23:43,13.0
2024-06-21 04:24:43,23.0
2024-06-21 04:25:43,7.0
2024-06-21 04:26:43,10.0
2024-06-21 04:27:43,16.0
2024-06-21 04:28:43,14.0
2024-06-21 04:29:43,13.0
2024-06-21 04:30:43,10.0
2024-06-21 04:31:43,21.0
2024-06-21 04:32:43,14.0
2024-06-21 04:33:43,20.0
2024-06-21 04:34:43,19.0
2024-06-21 04:35:44,21.0
2024-06-21 04:36:44,25.0
2024-06-21 04:37:44,10.0
2024-06-21 04:38:44,10.0
2024-06-21 04:39:44,21.0
2024-06-21 04:40:44,9.0
2024-06-21 04:41:44,16.0
2024-06-21 04:42:44,26.0
2024-06-21 04:43:44,13.0
2024-06-21 04:44:44,20.0
2024-06-21 04:45:44,6.0
2024-06-21 04:46:44,20.0
2024-06-21 04:47:44,16.0
2024-06-21 04:48:44,15.0
2024-06-21 04:49:44,13.0
2024-06-21 04:50:44,19.0
2024-06-21 04:51:44,14.0
2024-06-21 04:52:44,14.0
2024-06-21 04:53:44,15.0
2024-06-21 04:54:44,16.0
2024-06-21 04:55:45,12.0
2024-06-21 04:56:45,12.0
2024-06-21 04:57:45,17.0
2024-06-21 04:58:45,13.0
2024-06-21 04:59:45,14.0
2024-06-21 05:00:45,16.0
2024-06-21 05:01:45,14.0
2024-06-21 05:02:45,18.0
2024-06-21 05:03:45,13.0
2024-06-21 05:04:45,11.0
2024-06-21 05:05:45,20.0
2024-06-21 05:06:45,12.0
2024-06-21 05:07:45,22.0
2024-06-21 05:08:45,12.0
2024-06-21 05:09:45,11.0
2024-06-21 05:10:45,16.0
2024-06-21 05:11:45,15.0
2024-06-21 05:12:45,18.0
2024-06-21 05:13:45,13.0
2024-06-21 05:14:45,9.0
2024-06-21 05:15:45,13.0
2024-06-21 05:16:46,12.0
2024-06-21 05:17:46,17.0
2024-06-21 05:18:46,14.0
2024-06-21 05:19:46,14.0
2024-06-21 05:20:46,15.0
2024-06-21 05:21:46,14.0
2024-06-21 05:22:46,18.0
2024-06-21 05:23:46,8.0
2024-06-21 05:24:46,14.0
2024-06-21 05:25:46,17.0
2024-06-21 05:26:46,17.0
2024-06-21 05:27:46,8.0
2024-06-21 05:28:46,14.0
2024-06-21 05:29:46,11.0
2024-06-21 05:30:46,10.0
2024-06-21 05:31:46,11.0
2024-06-21 05:32:46,14.0
2024-06-21 05:33:46,15.0
2024-06-21 05:34:46,21.0
2024-06-21 05:35:47,18.0
2024-06-21 05:36:47,13.0
2024-06-21 05:37:47,19.0
2024-06-21 05:38:47,13.0
2024-06-21 05:39:47,12.0
2024-06-21 05:40:47,12.0
2024-06-21 05:41:47,6.0
2024-06-21 05:42:47,13.0
2024-06-21 05:43:47,6.0
2024-06-21 05:44:47,15.0
2024-06-21 05:45:47,13.0
2024-06-21 05:46:47,12.0
2024-06-21 05:47:47,8.0
2024-06-21 05:48:47,19.0
2024-06-21 05:49:47,16.0
2024-06-21 05:50:47,14.0
2024-06-21 05:51:47,12.0
2024-06-21 05:52:47,7.0
2024-06-21 05:53:47,13.0
2024-06-21 05:54:47,13.0
2024-06-21 05:55:47,16.0
2024-06-21 05:56:48,9.0
2024-06-21 05:57:48,13.0
2024-06-21 05:58:48,11.0
2024-06-21 05:59:48,14.0
2024-06-21 06:00:48,17.0
2024-06-21 06:01:48,14.0
2024-06-21 06:02:48,11.0
2024-06-21 06:03:48,13.0
2024-06-21 06:04:48,20.0
2024-06-21 06:05:48,13.0
2024-06-21 06:06:48,17.0
2024-06-21 06:07:48,14.0
2024-06-21 06:08:48,11.0
2024-06-21 06:09:48,13.0
2024-06-21 06:10:48,13.0
2024-06-21 06:11:48,15.0
2024-06-21 06:12:48,20.0
2024-06-21 06:13:48,18.0
2024-06-21 06:14:49,17.0
2024-06-21 06:15:49,10.0
2024-06-21 06:16:49,15.0
2024-06-21 06:17:49,18.0
2024-06-21 06:18:49,21.0
2024-06-21 06:19:49,12.0
2024-06-21 06:20:49,19.0
2024-06-21 06:21:49,13.0
2024-06-21 06:22:49,10.0
2024-06-21 06:23:49,19.0
2024-06-21 06:24:49,19.0
2024-06-21 06:25:49,12.0
2024-06-21 06:26:49,13.0
2024-06-21 06:27:49,11.0
2024-06-21 06:28:49,12.0
2024-06-21 06:29:49,21.0
2024-06-21 06:30:49,20.0
2024-06-21 06:31:49,16.0
2024-06-21 06:32:50,11.0
2024-06-21 06:33:50,14.0
2024-06-21 06:34:50,11.0
2024-06-21 06:35:50,14.0
2024-06-21 06:36:50,11.0
2024-06-21 06:37:50,10.0
2024-06-21 06:38:50,11.0
2024-06-21 06:39:50,18.0
2024-06-21 06:40:50,15.0
2024-06-21 06:41:50,11.0
2024-06-21 06:42:50,16.0
2024-06-21 06:43:50,17.0
2024-06-21 06:44:50,25.0
2024-06-21 06:45:50,18.0
2024-06-21 06:46:50,12.0
2024-06-21 06:47:50,17.0
2024-06-21 06:48:50,13.0
2024-06-21 06:49:50,10.0
2024-06-21 06:50:50,15.0
2024-06-21 06:51:50,20.0
2024-06-21 06:52:50,21.0
2024-06-21 06:53:50,13.0
